gene_name,annotation,prevalence,lr_auroc_rifampin,n_train,n_pos,kept_filtered
fprA,,0.9945,0.5271208056419325,1984,990,False
lppL,,0.9975,0.5270307360093642,1991,995,False
ino1,,0.985,0.5269795466469472,1968,982,False
pPE61,,0.95,0.5268467592114483,1898,957,False
citB,,0.9875,0.5267141603321819,1974,989,False
ldcC,,0.9915,0.5266944445292986,1982,989,False
pPE4,,0.9865,0.5266257339233983,1968,983,False
citA,,0.9775,0.5266256831458934,1955,978,False
aspB,,0.965,0.526600421190374,1928,959,False
rfbD,,0.97,0.5264013100955419,1942,968,False
sucD,,0.9915,0.526377102025738,1988,993,False
rpfB,,0.995,0.526298531221194,1985,988,False
pimC,,0.391,0.5262979809959676,779,298,False
ripA,,0.997,0.5262534591726988,1993,996,False
recA,,0.989,0.5261181276651151,1983,992,False
glpX,,0.989,0.5260956378752132,1979,990,False
mbtG,,0.9965,0.5260817628765693,1992,995,False
kdpB,,0.9915,0.5260454426966659,1982,988,False
secE,,0.992,0.5260201693544955,1987,994,False
cyp137,,0.988,0.525972531345627,1973,987,False
modA,,0.995,0.525860714674143,1993,997,False
dacB,,0.991,0.5257865957966764,1982,990,False
manC,,0.9925,0.5257475404756371,1981,988,False
mgtC,,0.9965,0.5256064458840386,1991,995,False
chsB1,,0.9655,0.5255603973976987,1926,969,False
mmaE,,0.9975,0.5254996144211529,1992,997,False
cut2,,0.9965,0.5254560256802634,1990,993,False
idsA1,,0.9945,0.5254110521716155,1984,990,False
lys2b,,0.974,0.5254095384866155,1944,973,False
glmS,,0.9925,0.5253031258973456,1989,996,False
dhmA2,,0.995,0.5252977636351859,1988,992,False
sdhC,,0.995,0.525262849732749,1994,997,False
tra5,,0.8505,0.5250704800987556,1697,873,False
mmpL4,,0.9745,0.5250247445873193,1947,969,False
nusA,,0.9895,0.5249964106830292,1982,991,False
ephD,,0.987,0.5249332695601191,1972,985,False
mftD,,0.994,0.5249079993036692,1988,994,False
xylB,,0.9835,0.5248953301459497,1969,983,False
ispF,,0.9945,0.52487868980954,1990,994,False
ydhS,,0.994,0.5248202590302371,1984,989,False
esxB,,0.998,0.5248196851862119,1992,995,False
recF,,0.9935,0.5248018282808654,1988,992,False
desA3,,0.993,0.5244881587914584,1986,992,False
pafC,,0.96,0.5244238926892651,1914,955,False
pknD,,0.954,0.5243641681692371,1908,957,False
mmpL7,,0.9935,0.5242113630318744,1985,991,False
ntrY,,0.962,0.5241276502958745,1925,963,False
splB,,0.965,0.5240777483319924,1930,947,False
inhA,,0.9965,0.5237731744896831,1993,995,False
pncB1,,0.9745,0.5237423551604253,1945,968,False
plcD,,0.318,0.5237323795497579,633,245,False
mmpL2,,0.978,0.5237200504413619,1951,975,False
hisB,,0.9935,0.5235922816499415,1988,995,False
bssS,,0.135,0.5235642946317104,269,89,False
hAMP,,0.9605,0.523411322245178,1920,956,False
dnaX,,0.9785,0.5233583831898438,1959,979,False
mtc28,,0.987,0.5232344667671601,1971,987,False
adhC,,0.99,0.5231992999836254,1977,985,False
kshB,,0.988,0.5231007943113741,1973,983,False
zmp1,,0.993,0.5229624408622324,1986,995,False
hisJ,,0.979,0.5228351349939945,1957,975,False
pPE10,,0.9115,0.522812882313087,1820,901,False
pasT,,0.996,0.5227770484051891,1994,995,False
tobH,,0.994,0.5227669060306568,1988,993,False
lolE,,0.3415,0.5226560095413973,684,456,False
bglX,,0.9825,0.522609201397513,1966,984,False
lipM,,0.9905,0.5226052231107843,1979,990,False
rsmE,,0.974,0.5225407693225834,1946,973,False
thiO,,0.9955,0.5224759479685812,1992,996,False
ppsE,,0.9705,0.5223959995744227,1939,964,False
narG,,0.9925,0.5223828444476996,1983,987,False
tra8,,0.9965,0.522183926085102,1994,996,False
tgs4,,0.988,0.5221639458252373,1972,983,False
thrC,,0.9905,0.5221042245211428,1983,990,False
cDA1,,0.9965,0.5219341441409655,1992,995,False
gltX,,0.991,0.5216182022346312,1984,995,False
hIS2,,0.9805,0.5214168433304236,1962,972,False
fpg2,,0.977,0.5213360599863667,1953,978,False
chp2,,0.9965,0.5212923265643217,1988,992,False
argC,,0.974,0.5211555485712789,1954,979,False
murF,,0.991,0.5210271502767412,1985,988,False
phoR,,0.9945,0.5207894266652049,1985,989,False
korB,,0.994,0.520729527291552,1989,992,False
dut,,0.9925,0.520673443946334,1985,993,False
sucB,,0.9955,0.5206244363767386,1988,991,False
bpoC,,0.995,0.5206234040661969,1990,992,False
pE15,,0.986,0.5205123204959152,1969,978,False
espG,,0.9925,0.5205049672403746,1985,991,False
mmpS1,,0.875,0.5204032591785529,1749,908,False
sbcC,,0.9615,0.5203842883752928,1923,957,False
lipZ,,0.995,0.5203647250291488,1988,992,False
ctpC,,0.9875,0.5201786883903717,1977,985,False
infC,,0.988,0.5201289946992678,1979,989,False
mmpL11,,0.9835,0.5201091316610013,1967,984,False
mmpL3,,0.981,0.5201088808898348,1962,976,False
fadE34,,0.962,0.5200866290753713,1921,958,False
thiD,,0.9925,0.5199897264724036,1985,992,False
aftD,,0.96,0.5197494346763658,1920,958,False
yidC,,0.993,0.5196672995720805,1988,994,False
ruvX,,0.9705,0.51953884883854,1943,971,False
ipdE1,,0.993,0.5195099993896609,1983,988,False
rpsZ,,0.9945,0.5194605208345972,1989,993,False
proP,,0.972,0.5194390956783739,1942,955,False
secE2,,0.9895,0.5194135659065463,1977,986,False
luxR,,0.7755,0.5193799551734519,1551,835,False
iap,,0.9815,0.5193418698510442,1961,976,False
hisI,,0.997,0.519249130155999,1995,998,False
fadD30,,0.6,0.5192445422570946,1198,481,False
nuoN,,0.994,0.5192275382678363,1988,994,False
caeB,,0.9775,0.5192071890484589,1952,972,False
eccE3,,0.9875,0.51920696418651,1970,983,False
mmaA4,,0.9945,0.5191217657705025,1989,995,False
apeB,,0.9845,0.5191043660597505,1963,980,False
lipR,,0.9395,0.5191037215219256,1875,946,False
mutA,,0.9735,0.518977467657025,1946,972,False
erg3,,0.9925,0.5189751871553206,1982,994,False
sadH,,0.935,0.5189365278083499,1868,944,False
esxH,,0.9985,0.5189125164438038,1992,995,False
cyp132,,0.9945,0.5188621649250341,1986,994,False
mftF,,0.9955,0.5187827820797688,1991,993,False
pdxI,,0.9915,0.5187007914064248,1983,988,False
gdh,,0.972,0.5186319345254494,1943,979,False
zwf,,0.987,0.5185940813335626,1977,993,False
dinB2,,0.994,0.5185620019288361,1985,990,False
secD,,0.991,0.5185518954613887,1987,994,False
bioB,,0.992,0.518445181685471,1985,994,False
ddpA,,0.975,0.518383772292007,1950,973,False
accD3,,0.982,0.5183325859119371,1963,976,False
csm3,,0.996,0.5182545793483547,1987,992,False
pit,,0.9875,0.5182526484355753,1974,984,False
rpsO,,0.9935,0.5181273942724701,1988,995,False
folC,,0.9815,0.5181232120720273,1962,983,False
lppA,,0.485,0.5181055057196937,970,419,False
gltP,,0.9865,0.5180954113280142,1973,977,False
trpE,,0.992,0.5180251293903193,1983,991,False
vapC46,,0.9865,0.5178515476838338,1970,986,False
ipdE2,,0.9725,0.5177968238764474,1943,967,False
ligC,,0.9935,0.5177120481439456,1987,992,False
cas2,,0.653,0.517709258154191,1303,541,False
glgC,,0.9835,0.5176897111494756,1970,985,False
impA,,0.998,0.517675879396985,1995,995,False
mqo,,0.9935,0.5175495953663901,1991,996,False
deoA,,0.982,0.5175244461976043,1963,980,False
ctpE,,0.9945,0.5174831686294831,1988,994,False
rpoA,,0.989,0.5174824783586113,1983,993,False
pks1,,0.4605,0.517427469491135,920,404,False
vapB34,,0.9975,0.5174241782104685,1991,992,False
asnB,,0.9915,0.5174077457997057,1985,990,False
mbtA,,0.977,0.5173785970514964,1952,971,False
esxE,,0.993,0.5173371910055327,1985,990,False
aroC,,0.9635,0.5172386319887069,1934,964,False
papA5,,0.9905,0.5172301444799192,1979,993,False
whiB5,,0.994,0.517178753652084,1985,991,False
mrp,,0.982,0.5169934559104424,1963,976,False
pgi,,0.987,0.5169380435407446,1974,988,False
atpG,,0.9915,0.5169180405010709,1986,994,False
nuoJ,,0.995,0.5166744779882345,1990,992,False
pfkB,,0.9845,0.5166221140402351,1966,987,False
ctpB,,0.992,0.5165942981785566,1981,991,False
cyp142,,0.9895,0.5165883422096503,1977,989,False
aceA,,0.9925,0.5165709034267282,1988,991,False
nrp,,0.987,0.5165690562680703,1971,987,False
mmsA,,0.9815,0.5165291229381416,1963,978,False
metG,,0.992,0.5164899274843584,1989,996,False
tilS,,0.97,0.5164634924008927,1940,970,False
mec,,0.9715,0.5164040570420453,1939,981,False
korA,,0.997,0.5163319103037758,1992,995,False
rfaB,,0.951,0.516315771433247,1902,951,False
cinA,,0.991,0.5162109509829003,1985,989,False
mbtI,,0.997,0.5160623056979149,1992,994,False
cadC1,,0.9925,0.5159926129431702,1986,993,False
ispH1,,0.9885,0.5159071984379935,1975,987,False
proB,,0.9575,0.5158063510880793,1916,958,False
rnz,,0.993,0.5158032587178316,1985,990,False
speE,,0.974,0.5157468872677033,1949,973,False
ytcJ,,0.9575,0.5157226717436141,1912,955,False
lppQ,,0.9955,0.5156239552116323,1987,994,False
fadD29,,0.9625,0.515589635399762,1923,948,False
uvrB,,0.97,0.5155402660681918,1942,971,False
shy1,,0.998,0.5154722126553113,1993,994,False
ppsB,,0.849,0.5154468186313168,1696,859,False
ilvX,,0.965,0.5154078958766459,1922,962,False
fetB,,0.9965,0.5153802210246403,1989,994,False
pks18,,0.9945,0.5153623353021354,1986,994,False
dtd,,0.9905,0.5153254600384509,1983,990,False
mmaA1,,0.9955,0.5151328933825756,1991,995,False
atpB,,0.9925,0.5150698158802058,1989,994,False
cyp123,,0.824,0.5150492264416315,1645,790,False
treZ,,0.9255,0.5150135477279795,1851,958,False
egtA,,0.988,0.514984812655232,1975,986,False
vapC48,,0.995,0.5149412572011547,1988,994,False
tkt,,0.9815,0.514934217341759,1965,985,False
aceE,,0.9905,0.5149173925489714,1978,990,False
amiD,,0.994,0.5148732660884254,1985,993,False
acg,,0.998,0.5148485657978962,1992,995,False
yliI,,0.994,0.5147931154433979,1986,989,False
lpqA,,0.996,0.5147891676122548,1987,992,False
pgl,,0.9795,0.5147444298820446,1961,981,False
accD4,,0.996,0.5147343122167645,1989,991,False
fprB,,0.9755,0.5147224814095207,1950,973,False
vapC1,,0.9965,0.5147132129314016,1991,993,False
ppgK,,0.996,0.5146860076119367,1990,994,False
cysK,,0.98,0.5146797743487638,1964,984,False
rho,,0.9945,0.5146339125345603,1991,995,False
punA,,0.9805,0.5145106356837106,1960,981,False
fadD8,,0.994,0.5144904213628707,1988,996,False
pyrC,,0.9815,0.5144781301582867,1966,981,False
yajC,,0.9925,0.5144019898284177,1989,995,False
pknF,,0.9675,0.5143081659800893,1931,960,False
gltD,,0.996,0.5142775058844876,1992,997,False
apt,,0.9845,0.514191575457419,1971,986,False
mmcO,,0.9905,0.5141869530945684,1978,987,False
echA14,,0.9745,0.5140724811839859,1948,970,False
argJ,,0.986,0.5140480375407371,1975,989,False
dprA,,0.982,0.5140147559732478,1965,984,False
hisD,,0.986,0.5140026647226958,1971,987,False
devR,,0.997,0.5139601913471261,1994,995,False
modC,,0.992,0.5139184293560828,1984,989,False
nadB,,0.985,0.5138770479650085,1971,984,False
pncB2,,0.9835,0.5138769300823779,1966,980,False
relA,,0.988,0.5138233897444715,1977,984,False
mngR,,0.99,0.5137182360586615,1977,987,False
frsA,,0.98,0.5137066271565779,1958,973,False
xPB,,0.979,0.5136707671118758,1955,978,False
mET17,,0.9935,0.5136407845680013,1987,992,False
prmC,,0.9935,0.5135931048136207,1990,994,False
vapB21,,0.9935,0.5135495109912757,1985,991,False
thiC,,0.9935,0.5135431496101207,1989,992,False
nit2,,0.9835,0.5134783569634477,1968,984,False
cHAD,,0.9845,0.5134623842862097,1966,981,False
vapB40,,0.992,0.5134206925683431,1980,993,False
pknK,,0.952,0.513376312196333,1900,936,False
guaB3,,0.96,0.5132788781892359,1918,954,False
dprE1,,0.9965,0.5131933887896517,1992,994,False
cfa,,0.922,0.5131627045894062,1843,955,False
lipN,,0.9945,0.5131520708509382,1985,991,False
ispG,,0.9935,0.513027486831749,1991,995,False
pepA,,0.979,0.5129953209533558,1957,980,False
vapB48,,0.995,0.5129460439947099,1989,993,False
ddlA,,0.9905,0.5129019890502554,1978,985,False
fadE29,,0.9915,0.5128510912419324,1981,988,False
pyc,,0.9575,0.5128205967238434,1915,957,False
ruvA,,0.9775,0.5128005951387267,1958,982,False
ask,,0.996,0.5127997284906078,1990,993,False
rpsK,,0.985,0.5127760617918995,1975,991,False
eccCa1,,0.998,0.5127279428647389,1993,996,False
terC,,0.9875,0.5126971052976659,1976,992,False
icdM,,0.9945,0.512646857591657,1988,992,False
fumC,,0.9925,0.5125999737110849,1989,990,False
mbtE,,0.9665,0.5125384206487679,1932,974,False
lppP,,0.994,0.5124427329333504,1987,993,False
jag,,0.9925,0.5123900282835173,1985,987,False
yraQ,,0.902,0.5123530382562387,1803,929,False
fbpD,,0.9965,0.5123104071045316,1990,992,False
yjbM,,0.9905,0.512267511287051,1978,992,False
sthA,,0.975,0.5122138958041391,1948,957,False
mycP1,,0.9865,0.5121828417748777,1968,987,False
idsB,,0.679,0.512171046774567,1355,579,False
rnj,,0.986,0.5119894572352145,1970,976,False
hyuB,,0.9675,0.5118395653871038,1934,965,False
aroE,,0.8305,0.5118081888963921,1665,837,False
mazE4,,0.9955,0.5117013260391751,1990,992,False
helY,,0.972,0.5116834945265172,1940,970,False
tgs1,,0.998,0.5116505673175684,1996,997,False
yccF,,0.9955,0.5115805273407513,1990,996,False
suhB,,0.991,0.511557162765622,1983,990,False
ald,,0.981,0.5114993017541096,1965,977,False
dnaE2,,0.9585,0.5114370225920274,1913,949,False
pE3,,0.994,0.5114338980614902,1988,991,False
gpm2,,0.9945,0.5114264163458117,1989,992,False
ylaD,,0.9955,0.5114018824149215,1987,990,False
nuoG,,0.9545,0.5112535415734674,1910,956,False
znuB,,0.988,0.5111860547321349,1973,984,False
iniB,,0.898,0.511145785780392,1791,909,False
clpB,,0.9925,0.5111099640497474,1988,992,False
glxK,,0.903,0.5110912660121472,1804,911,False
pE_PGRS34,,0.811,0.5110220272654566,1621,852,False
uvrA,,0.992,0.5110096060232362,1986,992,False
fbaA,,0.995,0.511005832374725,1991,995,False
arfA,,0.9965,0.5109878256907462,1992,993,False
tcmP,,0.896,0.5108219613218212,1789,917,False
fadB2,,0.9955,0.5108086355841719,1989,992,False
gnd,,0.989,0.5107321955653604,1979,990,False
atpA,,0.991,0.5106996676933052,1987,995,False
fadD13,,0.995,0.5106041075704363,1986,989,False
trmA,,0.9735,0.5105253795066413,1944,952,False
paaY,,0.9945,0.5104966235911388,1988,992,False
cyp125,,0.996,0.5104603524763036,1990,994,False
mbtJ,,0.9955,0.5104532981199533,1989,991,False
htpG,,0.992,0.5104477672486534,1986,992,False
efpA,,0.9965,0.5104291619387259,1987,992,False
murB,,0.982,0.5104063177851738,1966,982,False
cmaA2,,0.9975,0.5104033146771634,1990,993,False
rbsK,,0.974,0.5103685399782878,1950,972,False
trmI,,0.996,0.51029874023256,1990,994,False
ldtMt5,,0.99,0.5102739445642963,1977,988,False
spoIIM,,0.994,0.5102265197611371,1990,994,False
miaB,,0.94,0.510225321888412,1882,950,False
fbiC,,0.967,0.510129141860605,1930,964,False
pPE15,,0.971,0.5100662662855552,1933,970,False
cei,,0.9575,0.5100660562787278,1915,961,False
fhaA,,0.997,0.5100301307549642,1991,993,False
mycP3,,0.9655,0.5099804807004541,1927,959,False
trpC,,0.992,0.509973135209305,1986,993,False
modF,,0.9925,0.5099507639206131,1985,990,False
pE_PGRS36,,0.4415,0.5099353528656084,881,472,False
vapC23,,0.996,0.5098985149191267,1988,991,False
relE,,0.997,0.5098610522491978,1991,996,False
lprA,,0.9955,0.5098270810244576,1988,993,False
fadE25,,0.9895,0.509786458695057,1979,991,False
vapC45,,0.962,0.5097580293978127,1924,963,False
nagA,,0.9665,0.509669507837306,1933,967,False
mltG,,0.997,0.5095770405565926,1990,996,False
ahpC,,0.993,0.5095123697205741,1989,993,False
coxG,,0.9925,0.5094711505272861,1985,989,False
herA,,0.983,0.5093625268711833,1964,981,False
proS,,0.9875,0.5093574870130135,1977,989,False
sufR,,0.9435,0.5093435399854255,1886,948,False
caeA,,0.9965,0.5093377278751051,1990,992,False
hisE,,0.994,0.5093339493152267,1987,994,False
rplC,,0.9895,0.5093238133096862,1981,991,False
sdaA,,0.9955,0.5093061066016331,1989,993,False
cbs,,0.9755,0.5092927770281667,1948,980,False
murA,,0.9855,0.5092692761605035,1976,984,False
pPE21,,0.7975,0.5092340921990289,1593,785,False
moaE1,,0.993,0.5091885108047823,1984,995,False
prcB,,0.997,0.5091176603739418,1994,995,False
fadD10,,0.9925,0.5090279984033497,1982,996,False
pPE23,,0.974,0.5090227832023497,1944,969,False
yqeY,,0.9965,0.5089912954945238,1992,995,False
tal,,0.994,0.5089652694489567,1988,993,False
eAL,,0.995,0.5089419909213742,1988,993,False
putA,,0.9805,0.5087865991517031,1963,981,False
pckG,,0.997,0.5087780895344006,1994,997,False
cyp126,,0.981,0.5087743761685416,1957,987,False
dnaA,,0.9925,0.5087643567643285,1988,994,False
mutY,,0.9535,0.5087310367490004,1911,950,False
ypbQ,,0.996,0.5087292026834271,1992,995,False
rdgB,,0.9805,0.5086781088909006,1964,983,False
esxQ,,0.893,0.5086605313878041,1782,858,False
lprC,,0.999,0.5086421763128591,1995,996,False
gcvP,,0.993,0.5086354734906683,1986,993,False
parB,,0.9935,0.5085962562523737,1990,996,False
amiB2,,0.986,0.5085614530327229,1969,981,False
cydC,,0.9885,0.5085555541882529,1975,987,False
whiB3,,0.996,0.5085473366087012,1990,992,False
cfp32,,0.96,0.5085424815297697,1919,944,False
aroA,,0.966,0.5085370957899209,1938,969,False
vapC35,,0.9965,0.5085204695509742,1989,994,False
cwsA,,0.9875,0.5085165244080828,1974,985,False
cobIJ,,0.9575,0.5084806161261638,1910,957,False
cydD,,0.972,0.5084525508855405,1945,975,False
sRPBCC,,0.995,0.5084073292902658,1989,991,False
lppC,,0.9895,0.5084034818668985,1976,987,False
ephG,,0.994,0.5083008149909558,1984,990,False
vapC34,,0.997,0.508271641974972,1990,991,False
yHI9,,0.995,0.5082656911634453,1989,993,False
ispD,,0.9935,0.5081920647413775,1991,995,False
dipZ,,0.9945,0.5081920198488594,1985,989,False
mftC,,0.9725,0.5081887044622597,1945,971,False
thiL,,0.9765,0.5081841410790034,1954,977,False
mscS,,0.2875,0.5081746031746031,578,378,False
holB,,0.9715,0.5081716139693288,1942,969,False
tpx,,0.992,0.5081698963731098,1982,991,False
upp,,0.993,0.5081667808673245,1988,997,False
yeaO,,0.993,0.5081118862660857,1985,988,False
hyfE,,0.9665,0.5080841143073145,1930,961,False
secG,,0.993,0.5080680223411269,1989,993,False
sigJ,,0.9805,0.5080494085819399,1960,971,False
leuB,,0.985,0.5080294076284505,1974,987,False
mutT1,,0.998,0.5080028818850919,1991,994,False
pssA,,0.968,0.5079783050472757,1940,964,False
metB,,0.993,0.5079316591265247,1982,989,False
mazF6,,0.997,0.507870508320497,1990,995,False
fadE12,,0.99,0.5078540715547792,1979,989,False
lprI,,0.997,0.507812610144913,1993,995,False
fadA4,,0.987,0.5078025149453721,1970,980,False
rodA,,0.9905,0.5078020524152776,1981,989,False
ffh,,0.979,0.5077993026603755,1961,977,False
glmU,,0.989,0.5077972570889698,1984,992,False
fbpA,,0.9905,0.5077861527305411,1979,989,False
pmt,,0.9835,0.5077615702101862,1963,979,False
eccC5,,0.994,0.5077495274678374,1984,990,False
glmM,,0.9765,0.5076953704784618,1959,976,False
ctaB,,0.995,0.5076522881872138,1980,989,False
pks10,,0.887,0.5076425831202045,1770,920,False
glgM,,0.986,0.5076405697695292,1969,982,False
hsaD,,0.912,0.5076260226940977,1821,919,False
scpB,,0.99,0.5076092921163344,1984,994,False
mddA,,0.997,0.5075799188738923,1994,996,False
prpR,,0.9765,0.5075431825570785,1953,970,False
rpsE,,0.9885,0.507528870949658,1981,990,False
furA,,0.9965,0.5075023154046195,1989,993,False
glyA2,,0.992,0.5074867219511401,1982,988,False
xerC,,0.964,0.5074778569096752,1930,962,False
ureA,,0.9945,0.5074669831569909,1990,995,False
sppA,,0.9885,0.5074209791350262,1981,986,False
glgE,,0.987,0.5072597236079388,1970,982,False
uppP,,0.994,0.5072570366813166,1987,994,False
msrB,,0.9925,0.5072430425218462,1991,996,False
recO,,0.989,0.5072067802138439,1981,991,False
malQ,,0.98,0.507179783228276,1961,980,False
nirD,,0.994,0.5070973580174515,1989,994,False
mraZ,,0.9945,0.5070791141637838,1990,995,False
hemB,,0.993,0.5070775707403901,1991,997,False
mutM,,0.9905,0.5070600154664894,1984,991,False
sLT,,0.9905,0.5070543656994617,1979,989,False
rsfA,,0.9945,0.5070265500353581,1987,994,False
pxpC,,0.9925,0.5070204558144256,1985,990,False
aftC,,0.979,0.5069867609340686,1954,986,False
ilvD,,0.9845,0.5069786535303776,1973,987,False
mbtM,,0.9955,0.5069583751253762,1989,992,False
lppO,,0.9955,0.5069325921312323,1989,992,False
dnaG,,0.9805,0.5069152915748784,1962,982,False
lprP,,0.936,0.5069068948968165,1871,931,False
vapC43,,0.998,0.5069001181437321,1992,994,False
murI,,0.9905,0.5068822372733232,1984,989,False
leuC,,0.989,0.5068746875257744,1982,991,False
cofC,,0.9695,0.5068516128480829,1935,959,False
wag31,,0.996,0.5068433810543149,1988,993,False
lipG,,0.9865,0.5067957483800564,1973,986,False
ptpA,,0.995,0.5067754315506645,1987,989,False
fadA6,,0.9965,0.5067693018693908,1991,994,False
rnd,,0.973,0.5067082966154937,1948,974,False
pqqL,,0.2275,0.5066920259227952,455,182,False
tcrX,,0.9915,0.5066487409895953,1981,992,False
tagG,,0.9955,0.506630555650856,1991,994,False
dinP,,0.9625,0.5066038571755829,1924,962,False
cofD,,0.991,0.5066033317041381,1982,992,False
jefA,,0.9915,0.5066008062504264,1982,989,False
accD5,,0.995,0.5065165577882855,1991,993,False
sap,,0.998,0.5064652177328234,1993,994,False
gatB,,0.993,0.5064549786179463,1991,997,False
phoH,,0.99,0.5064368679848933,1982,989,False
hadA,,0.995,0.5064328858925093,1992,994,False
cysS,,0.9895,0.5062655185488705,1981,993,False
rpsC,,0.9545,0.5062509720935225,1911,957,False
rplE,,0.9915,0.5062064228269922,1987,994,False
tmk,,0.99,0.5061630431458887,1981,990,False
espG3,,0.998,0.5061153309173753,1992,995,False
rimM,,0.9935,0.5060953067804417,1990,996,False
egtE,,0.98,0.5060917389543305,1960,979,False
espG1,,0.9975,0.5060720635631788,1991,993,False
rplX,,0.9915,0.5060342032744367,1987,995,False
argF,,0.9685,0.5059702600653345,1942,972,False
aosR,,0.997,0.5059099756469813,1990,993,False
mrr,,0.9965,0.5058624841417985,1990,994,False
rpsN,,0.992,0.505858758981588,1986,991,False
rfe,,0.9945,0.5058515133573204,1988,993,False
alr,,0.9925,0.505848343070471,1990,996,False
adhB,,0.996,0.5058383559286868,1988,993,False
espG5,,0.9965,0.5057816840925312,1992,994,False
mak,,0.9935,0.5057657821950701,1987,990,False
pnp,,0.986,0.5057610339753549,1973,984,False
yigB,,0.991,0.505759112089697,1980,991,False
recG,,0.99,0.5057569537124442,1983,992,False
abiEi,,0.995,0.5057245592627408,1985,991,False
idi,,0.9945,0.5057110628979071,1984,989,False
lpqL,,0.9965,0.5056961629354866,1991,994,False
ugd,,0.993,0.5056947747088593,1984,990,False
nrdZ,,0.9735,0.5056537725794406,1946,969,False
vapB19,,0.9925,0.5056488191705144,1981,991,False
pptH,,0.9925,0.5056465853976106,1983,991,False
cydB,,0.9945,0.5056279334204288,1992,996,False
glbO,,0.997,0.5056076978076756,1993,995,False
atsA,,0.9895,0.5055918496707971,1978,990,False
higA,,0.993,0.5055905973499664,1984,993,False
coaA,,0.993,0.5055509468098917,1986,994,False
hemC,,0.984,0.5055400079076778,1971,987,False
lipA,,0.9875,0.5055163134880591,1981,990,False
gAF,,0.938,0.5054985035754266,1872,962,False
menD,,0.972,0.5054866856147118,1945,969,False
argB,,0.988,0.5054690045617465,1982,992,False
parD,,0.998,0.5054056642288675,1992,995,False
cwlM,,0.9965,0.5054021360564105,1992,995,False
fgd2,,0.985,0.5053652724482359,1970,983,False
htdZ,,0.995,0.5053579942142349,1990,992,False
fbiB,,0.9805,0.5053251575859701,1961,980,False
istB,,0.259,0.5053145352170653,522,251,False
purH,,0.9765,0.5053102865084814,1955,979,False
acn,,0.9955,0.5053084571687152,1990,994,False
idsA2,,0.9915,0.5052231282854998,1980,984,False
purC,,0.9915,0.505209701382797,1986,991,False
drrA,,0.9945,0.5051867724385277,1987,990,False
aac(2')-Ic,,0.99,0.5051317641339272,1979,986,False
pitA,,0.9915,0.5051298692051195,1983,989,False
ppx1,,0.997,0.5051257396150564,1989,993,False
ftsW,,0.9495,0.5050845886647217,1904,958,False
glfT2,,0.9965,0.5050403225806451,1990,992,False
atpD,,0.9915,0.5050377922982252,1988,996,False
cmk,,0.9925,0.505033750444883,1989,992,False
pPE51,,0.989,0.5050331659360073,1978,986,False
vapC29,,0.9965,0.5050105437429381,1993,994,False
ldtMt2,,0.988,0.5049872480173286,1973,986,False
phaC,,0.9835,0.5049847817757246,1968,981,False
ugpQ,,0.905,0.5049774977277836,1810,926,False
emrB,,0.995,0.5049765932277079,1989,994,False
higB,,0.995,0.5049744028688259,1986,994,False
mce,,0.9875,0.5048708096635883,1979,986,False
pPE29,,0.9145,0.5048667187479375,1826,929,False
aroQ,,0.9925,0.504860191067653,1988,991,False
pyrH,,0.992,0.5048409216272702,1988,995,False
senX3,,0.9965,0.5048325224361696,1989,993,False
dagK,,0.9955,0.5048297835301548,1988,994,False
treS,,0.9935,0.5048143847982153,1987,994,False
vapC4,,0.9955,0.5048031418198257,1991,994,False
pgpB,,0.995,0.5048029820896489,1988,992,False
dnaN,,0.992,0.5047928415563805,1988,994,False
hisH,,0.9935,0.5047887931208984,1988,994,False
lipE,,0.9925,0.5047847692213889,1984,990,False
truB,,0.967,0.5047577586667379,1935,970,False
yaeI,,0.993,0.5047461392207613,1984,991,False
pgsA,,0.993,0.5047118120724102,1991,996,False
rimP,,0.992,0.5047006206644761,1986,996,False
appC,,0.996,0.5046376554209914,1991,994,False
pspE,,0.96,0.504636660083989,1919,966,False
php,,0.9885,0.504633542421551,1976,989,False
esxC,,0.9915,0.5046288572963119,1983,992,False
pnbA,,0.986,0.5046043161022865,1971,978,False
mbtD,,0.9915,0.5046025466746091,1982,987,False
sigH,,0.996,0.5045986352632194,1993,996,False
penP,,0.995,0.5045838410746167,1988,994,False
accC,,0.9685,0.5045464722062305,1937,965,False
cobO,,0.994,0.5044999274205255,1992,996,False
echA8,,0.9915,0.5044608547635793,1981,991,False
rplQ,,0.992,0.5044503290098965,1989,996,False
rpsF,,0.9925,0.5044210251722911,1989,997,False
vapB2,,0.9945,0.5044208915464619,1988,994,False
viuB,,0.985,0.5044020800810529,1967,982,False
qcrC,,0.9955,0.504385333927703,1987,992,False
ycjR,,0.98,0.5043772886503829,1957,974,False
cobD,,0.942,0.5043554829829154,1886,938,False
rpmD,,0.993,0.5043509046245342,1990,996,False
pyk,,0.992,0.504302221179668,1989,997,False
acs,,0.9915,0.5042857954176673,1986,992,False
paaX,,0.989,0.5042602265373162,1978,987,False
pyrB,,0.979,0.5042363204530921,1963,984,False
pcnB,,0.989,0.5042346542346543,1978,988,False
espD,,0.998,0.5042268687501895,1989,994,False
vapB46,,0.979,0.5042115055818164,1954,976,False
prrA,,0.996,0.5042054126561168,1993,994,False
vapC32,,0.9955,0.504201616947617,1989,992,False
dnaB,,0.9675,0.5042000946860645,1937,981,False
